Name,Index
sternum,3171
rshoulder,4724
lshoulder,1239
r_lelbow,5135
l_lelbow,1666
r_melbow,5200
l_melbow,1731
r_lwrist,5696
l_lwrist,2235
r_mwrist,5567
l_mwrist,2106
r_ASIS,6573
l_ASIS,3156
r_PSIS,6521
l_PSIS,3097
r_knee,4496
l_knee,1009
r_mknee,4499
l_mknee,1013
r_ankle,6728
l_ankle,3327
r_mankle,6832
l_mankle,3432
r_5meta,6748
l_5meta,3349
r_toe,6741
l_toe,3340
r_big_toe,6634
l_big_toe,3232
l_calc,3387
r_calc,6796
r_bpinky,6089
l_bpinky,2193
r_tpinky,6116
l_tpinky,2653
r_bindex,5595
l_bindex,2135
r_tindex,5776
l_tindex,2313
r_tmiddle,5888
l_tmiddle,2425
r_tring,5999
l_tring,2536
r_bthumb,5531
l_bthumb,2069
r_tthumb,6189
l_tthumb,2724
C7,3012
L2,3502
T11,3017
T6,3028
